	V5	V2	V3	V4	SC_NH4_GAL_20181023	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	V1	Size	InData	FracInData
115	complex115	Baryshnikova2010	YCL045C; YGL231C; YJR088C; YKL207W; YLL014W	EMC1; EMC4; EMC2; EMC3; EMC6	-0.41838125	-0.6369355	-0.58832375	-0.77898425	-0.567263	-0.61866325	-0.295590333	emc complex	5	4	0.8
129	complex129	Baryshnikova2010	YGL049C; YGR162W; YJL138C; YKR059W; YOL139C	TIF4632; TIF4631; TIF2; TIF1; CDC33	0.339769	0.139875	-0.572138667	-1.628233	-0.1632595	-1.246146333	-0.630757	eukaryotic translation initiation factor 4F complex (AB)	5	4	0.8
150	complex150	Baryshnikova2010	YBR077C; YGR163W; YKL143W; YKR007W; YML121W	SLM4; GTR2; LTV1; MEH1; GTR1	-0.957575667	4.43E-05	-0.293272	-1.458639	-0.28085275	-0.0958175	-0.61688375	GSE Complex	5	4	0.8
175	complex175	Benschop2010	YBL002W; YBL003C; YGL241W; YKR048C; YOL012C	HTB2; HTA2; KAP114; NAP1; HTZ1	-0.6333025	-0.9719865	-0.638162	-0.70585975	-0.35782775	-0.45721175	-0.53331225	Kap114-Nap1 histone complex	5	4	0.8
281	complex281	Baryshnikova2010	YER149C; YLL021W; YLR313C; YLR319C; YNL271C	PEA2; SPA2; SPH1; BUD6; BNI1	-1.77645525	-2.2628425	-1.78739175	-1.910302	-1.4594635	-1.68073925	-1.12195675	polarisome	5	4	0.8
434	complex434	Benschop2010	YDR357C; YEL005C; YGL079W; YKL061W; YNL086W	CNL1; VAB2; KXD1; BLI1; SNN1	-0.1724745	-0.257726	-0.32480925	-0.08045625	-0.0606525	0.159440667	-0.1045295	putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex	5	4	0.8
489	complex489	Baryshnikova2010	YMR075W; YNL330C; YOL004W; YPL139C; YPR023C	RCO1; RPD3; SIN3; UME1; EAF3	1.1178	1.26471125	1.01561325	-0.074409	-0.076042	0.238903333	0.39328425	Rpd3S complex	5	4	0.8
579	complex579	Benschop2010	YDL013W; YDR219C; YDR306C; YER116C; YER125W; YLR224W; YML111W; YMR275C; YNL311C; YOR057W	SLX5; MFB1; YDR306C; SLX8; RSP5; YLR224W; BUL2; BUL1; SKP2; SGT1	0.084521875	-0.426839125	-0.22308875	-0.430256	-0.978835143	-0.58786275	-0.671357625	ubiquitin ligase complex (GO)	10	8	0.8
488	complex488	Benschop2010 & Baryshnikova2010	YAL013W; YBR095C; YDL076C; YDR207C; YIL084C; YKL185W; YMR075W; YMR263W; YNL097C; YNL330C; YOL004W; YPL139C; YPL181W	DEP1; RXT2; RXT3; UME6; SDS3; ASH1; RCO1; SAP30; PHO23; RPD3; SIN3; UME1; CTI6	0.6279654	0.2126902	-0.0993788	-0.1317261	-0.028588222	-0.0277205	-0.0880058	Rpd3L complex	13	10	0.769230769
257	complex257	Baryshnikova2010	YBL002W; YBL003C; YBR009C; YBR010W; YDR224C; YDR225W; YNL030W; YNL031C	HTB2; HTA2; HHF1; HHT1; HTB1; HTA1; HHF2; HHT2	0.596427833	0.3271575	0.278679167	-0.4141194	-0.0426845	-0.423574333	-0.100453333	Nucleosomal protein complex	8	6	0.75
293	complex293	Benschop2010 & Baryshnikova2010	YAL016W; YDL134C; YDL188C; YGL190C; YML109W; YMR273C; YOR014W; YPL152W	TPD3; PPH21; PPH22; CDC55; ZDS2; ZDS1; RTS1; RRD2	1.3619735	0.9403245	0.6439978	0.605222	0.3567935	0.751315	0.2227785	protein phosphatase type 2A complex	8	6	0.75
206	complex206	Baryshnikova2010	YBR221C; YER178W; YFL018C; YGR193C; YIL042C; YNL071W; YOR090C	PDB1; PDA1; LPD1; PDX1; PKP1; LAT1; PTC5	-0.0510622	1.12037475	0.409738	0.2691055	0.010771	0.292906	0.19201925	mitochondrial pyruvate dehydrogenase complex	7	5	0.714285714
280	complex280	Baryshnikova2010	YBL105C; YDL203C; YDL240W; YGR070W; YHR030C; YJL095W; YKL161C; YLR371W; YNL090W; YOL105C; YOR188W; YOR231W; YPL089C; YPL140C	PKC1; ACK1; LRG1; ROM1; SLT2; BCK1; KDX1; ROM2; RHO2; WSC3; MSB1; MKK1; RLM1; MKK2	-0.7055282	-0.3281707	-0.334422	-0.888265	-0.640377	-0.917859111	-0.2759174	PKC pathway	14	10	0.714285714
81	complex81	Benschop2010	YBR135W; YBR160W; YDL127W; YDL179W; YER059W; YGL134W; YGL215W; YHR071W; YIL050W; YNL289W; YOL001W; YPL219W; YPL256C	CKS1; CDC28; PCL2; PCL9; PCL6; PCL10; CLG1; PCL5; PCL7; PCL1; PHO80; PCL8; CLN2	-0.383392222	-0.3506365	-0.702618444	-0.592044	-0.196749	-0.358399375	-0.318217375	cyclin-dependent protein kinase holoenzyme complex (GO)	13	9	0.692307692
86	complex86	Baryshnikova2010	YAL041W; YBR200W; YDL135C; YDR309C; YDR379W; YER155C; YFL047W; YGR014W; YGR221C; YHR061C; YLR229C; YNL298W; YOL113W; YOR127W; YPL115C; YPL161C	CDC24; BEM1; RDI1; GIC2; RGA2; BEM2; RGD2; MSB2; TOS2; GIC1; CDC42; CLA4; SKM1; RGA1; BEM3; BEM4	-1.4128967	-0.5791487	-0.798155714	-0.984054091	-0.744718	-1.146921091	-1.1636889	cytoskeleton assembly pathway	16	11	0.6875
62	complex62	Baryshnikova2010	YDL192W; YJL099W; YKR027W; YLR330W; YMR237W; YOR299W	ARF1; CHS6; BCH2; CHS5; BCH1; BUD7	-0.27807025	-0.1169645	0.006372333	-0.2768615	-0.048616333	-0.2226285	-0.0375105	Chs5p/Arf-1binding proteins (ChAPs)	6	4	0.666666667
114	complex114	Benschop2010	YGR200C; YHR187W; YLR384C; YMR312W; YPL086C; YPL101W	ELP2; IKI1; IKI3; ELP6; ELP3; ELP4	0.111149	-2.3138925	-1.60906	-2.0281055	-1.90410525	-2.651382	-1.816631	Elongator holoenzyme complex	6	4	0.666666667
133	complex133	Baryshnikova2010	YDR200C; YFR008W; YLR238W; YMR029C; YMR052W; YNL127W	VPS64; FAR7; FAR10; FAR8; FAR3; FAR11	0.036478	-0.928056	-0.2338525	-1.0538085	-0.738037	-0.7844025	-0.32675325	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex	6	4	0.666666667
177	complex177	Benschop2010	YBL063W; YEL061C; YGL216W; YMR198W; YPL155C; YPL253C	KIP1; CIN8; KIP3; CIK1; KIP2; VIK1	-0.06710425	-0.911837667	-1.519500667	-1.151769333	-0.8529225	-0.73233275	-1.01420675	kinesin complex (GO)	6	4	0.666666667
205	complex205	Baryshnikova2010	YDL130W-A; YDL181W; YDR298C; YGR008C; YKL016C; YPL078C	STF1; INH1; ATP5; STF2; ATP7; ATP4	0.255350333	0.69082925	0.386004333	0.898071333	0.6949705	0.8291	0.401232	mitochondrial proton-transporting ATP synthase complex	6	4	0.666666667
213	complex213	Baryshnikova2010	YGL086W; YGL116W; YGR188C; YJL013C; YJL030W; YOR026W	MAD1; CDC20; BUB1; MAD3; MAD2; BUB3	-0.99470475	-0.43245	-0.6020955	-0.78101175	-0.72453475	-1.31066225	-0.898877	mitotic checkpoint complex	6	4	0.666666667
212	complex212	Benschop2010 & Baryshnikova2010	YBL038W; YBR122C; YBR268W; YBR282W; YCR003W; YCR046C; YCR071C; YDL202W; YDR115W; YDR116C; YDR237W; YDR296W; YDR322W; YDR405W; YDR462W; YEL050C; YGL068W; YGR076C; YGR220C; YHR147C; YJL063C; YJL096W; YKL138C; YKL167C; YKL170W; YKR006C; YKR085C; YLR312W-A; YLR439W; YML009C; YML025C; YMR024W; YMR098C; YMR193W; YMR225C; YMR286W; YNL005C; YNL177C; YNL185C; YNL252C; YNL284C; YNR022C; YOR150W; YPL173W; YPL183W-A; YPR100W	MRPL16; MRPL36; MRPL37; MRPL27; MRPL32; IMG1; IMG2; MRPL11; YDR115W; MRPL1; MRPL7; MHR1; MRPL35; MRP20; MRPL28; RML2; MNP1; MRPL25; MRPL9; MRPL6; MRPL8; MRPL49; MRPL31; MRP49; MRPL38; MRPL13; MRPL20; MRPL15; MRPL4; MRPL39; YML6; MRPL3; ATP25; MRPL24; MRPL44; MRPL33; MRP7; MRPL22; MRPL19; MRPL17; MRPL10; MRPL50; MRPL23; MRPL40; RTC6; MRPL51	0.417057231	0.89812775	0.13922736	0.542864	0.31294608	0.413756231	0.238367458	mitochondtrial large ribosomal subunit	46	29	0.630434783
65	complex65	Benschop2010	YBR135W; YBR160W; YDL155W; YKR091W; YLR079W; YLR210W; YMR199W; YPL256C	CKS1; CDC28; CLB3; SRL3; SIC1; CLB4; CLN1; CLN2	-0.0867668	-0.8496112	0.1704936	-0.960148333	-0.523157	-0.8274814	-0.4787562	Cln-Cdc28 protein kinase complex	8	5	0.625
69	complex69	Benschop2010	YAR003W; YBR175W; YBR258C; YDR469W; YHR119W; YKL018W; YLR015W; YPL138C	SWD1; SWD3; SHG1; SDC1; SET1; SWD2; BRE2; SPP1	-1.0906364	-2.0298524	-1.5997754	-1.1951054	-1.1612334	-1.4826394	-0.9174408	COMPASS complex	8	5	0.625
147	complex147	Benschop2010	YER157W; YGL005C; YGL223C; YGR120C; YML071C; YNL041C; YNL051W; YPR105C	COG3; COG7; COG1; COG2; COG8; COG6; COG5; COG4	-0.31768925	-0.5277936	-0.25956875	-0.5556605	-0.757589	-1.488872	-0.6463752	Golgi transport complex	8	5	0.625
84	complex84	Baryshnikova2010	YBL027W; YBL087C; YBL092W; YBR031W; YBR084C-A; YBR191W; YDL075W; YDL081C; YDL082W; YDL130W; YDL133C-A; YDL136W; YDL184C; YDL191W; YDR012W; YDR382W; YDR418W; YDR471W; YDR500C; YEL054C; YER056C-A; YER117W; YFL034C-A; YFR031C-A; YFR032C-A; YGL030W; YGL031C; YGL076C; YGL103W; YGL135W; YGL147C; YGR034W; YGR085C; YGR148C; YHL001W; YHL033C; YHR010W; YHR141C; YIL018W; YIL052C; YIL133C; YIL148W; YJL177W; YJL189W; YJR094W-A; YKL006W; YKL180W; YKR094C; YLL045C; YLR029C; YLR061W; YLR075W; YLR185W; YLR325C; YLR340W; YLR344W; YLR406C; YLR448W; YML073C; YMR121C; YMR142C; YMR194W; YMR242C; YNL067W; YNL069C; YNL162W; YNL301C; YOL039W; YOL120C; YOL127W; YOR063W; YOR234C; YOR312C; YPL079W; YPL131W; YPL143W; YPL198W; YPL220W; YPL249C-A; YPR043W; YPR102C	RPL19B; RPL23A; RPL32; RPL4A; RPL19A; RPL21A; RPL31A; RPP1A; RPL13A; RPP1B; RPL41B; RPL35B; RPL41A; RPL35A; RPL4B; RPP2B; RPL12B; RPL27B; RPL37B; RPL12A; RPL34A; RPL23B; RPL22B; RPL2A; RPL29; RPL30; RPL24A; RPL7A; RPL28; RPL1B; RPL9A; RPL26B; RPL11B; RPL24B; RPL14B; RPL8A; RPL27A; RPL42B; RPL2B; RPL34B; RPL16A; RPL40A; RPL17B; RPL39; RPL43B; RPL14A; RPL17A; RPL40B; RPL8B; RPL15A; RPL22A; RPL10; RPL37A; RPL38; RPP0; RPL26A; RPL31B; RPL6B; RPL6A; RPL15B; RPL13B; RPL36A; RPL20A; RPL9B; RPL16B; RPL42A; RPL18B; RPP2A; RPL18A; RPL25; RPL3; RPL33B; RPL20B; RPL21B; RPL5; RPL33A; RPL7B; RPL1A; RPL36B; RPL43A; RPL11A	0.26205016	0.106406111	-0.55596635	0.684986933	0.362956851	0.674680894	-0.113202826	cytoplasmic ribosomal large subunit	81	50	0.617283951
140	complex140	Benschop2010	YDR027C; YDR484W; YJL029C; YJL034W; YKR020W	VPS54; VPS52; VPS53; KAR2; VPS51	1.153748333	-1.351536667	0.070577333	-1.631343333	-0.400866	-1.176560667	-0.574110667	GARP complex	5	3	0.6
173	complex173	Benschop2010	YBR245C; YKR001C; YLR095C; YMR044W; YPL082C	ISW1; VPS1; IOC2; IOC4; MOT1	0.6364485	0.465466	0.365816	-1.023666667	-0.261706667	-0.394623667	0.259883	ISW1 complex (JB)	5	3	0.6
466	complex466	Baryshnikova2010	YDR004W; YDR076W; YER095W; YGL163C; YML032C	RAD57; RAD55; RAD51; RAD54; RAD52	0.459070333	-1.147488	-1.270048	-2.2683495	-1.154228	-1.5499595	-1.254332	rad51-rad57	5	3	0.6
558	complex558	Baryshnikova2010	YCR081W; YDL140C; YDR443C; YNL025C; YNL030W; YOR151C; YOR290C; YPL042C; YPL181W; YPR186C	SRB8; RPO21; SSN2; SSN8; HHF2; RPB2; SNF2; SSN3; CTI6; PZF1	1.263178833	0.173239	0.20022575	-0.420524	0.3547995	0.2311165	0.531172333	transcription factor complex	10	6	0.6
566	complex566	Benschop2010	YBR283C; YDR086C; YER019C-A; YER087C-B; YLR378C	SSH1; SSS1; SBH2; SBH1; SEC61	-0.230225	0.25518	-0.282755	0.154290333	0.375464	0.078982	0.099039667	translocon complex (GO)	5	3	0.6
580	complex580	Baryshnikova2010	YBR201W; YDR057W; YLR207W; YML029W; YOL013C	DER1; YOS9; HRD3; USA1; HRD1	0.310886667	0.087340333	0.626187	0.876886	0.380612667	0.760090667	0.224612333	ubiquitin ligase ERAD-L complex	5	3	0.6
87	complex87	Benschop2010	YBL027W; YBL092W; YBR031W; YBR181C; YBR191W; YCR031C; YDL075W; YDL082W; YDL083C; YDL136W; YDR012W; YDR382W; YDR418W; YDR447C; YDR471W; YER074W; YFR031C-A; YFR032C-A; YGL014W; YGL030W; YGL031C; YGL076C; YGL103W; YGL123W; YGL135W; YGL147C; YGR034W; YGR085C; YGR118W; YHL001W; YHL033C; YHR141C; YIL018W; YIL133C; YJL177W; YJR123W; YKL180W; YLL045C; YLR029C; YLR075W; YLR150W; YLR287C-A; YLR340W; YLR441C; YLR448W; YML063W; YML073C; YMR142C; YMR194W; YMR242C; YNL069C; YNL096C; YNL178W; YNL301C; YNL302C; YOL039W; YOL040C; YOL127W; YOR063W; YOR312C; YPL090C; YPL198W; YPL220W; YPL249C-A	RPL19B; RPL32; RPL4A; RPS6B; RPL21A; RPS14A; RPL31A; RPL13A; RPS16B; RPL35B; RPL4B; RPP2B; RPL12B; RPS17B; RPL27B; RPS24A; RPL2A; RPL29; PUF4; RPL30; RPL24A; RPL7A; RPL28; RPS2; RPL1B; RPL9A; RPL26B; RPL11B; RPS23A; RPL14B; RPL8A; RPL42B; RPL2B; RPL16A; RPL17B; RPS5; RPL17A; RPL8B; RPL15A; RPL10; STM1; RPS30A; RPP0; RPS1A; RPL6B; RPS1B; RPL6A; RPL13B; RPL36A; RPL20A; RPL16B; RPS7B; RPS3; RPL18B; RPS19B; RPP2A; RPS15; RPL25; RPL3; RPL20B; RPS6A; RPL7B; RPL1A; RPL36B	0.213563684	0.320642971	-0.35228369	0.704837514	0.427624056	0.753803833	-0.027582667	cytosolic large ribosomal subunit	64	38	0.59375
589	complex589	Baryshnikova2010	YCL005W-A; YEL027W; YHR026W; YLR447C; YMR054W; YOR270C; YPL234C	VMA9; VMA3; VMA16; VMA6; STV1; VPH1; VMA11	-1.894286	-0.48807075	-1.803382	-0.90067675	-0.67117175	-0.91208475	-0.8590485	"vacuolar proton-transporting V-type ATPase, V0 domain (AB)"	7	4	0.571428571
597	complex597	BJV curation	YBR082C; YBR173C; YDL020C; YDR054C; YDR059C; YDR069C; YDR092W; YDR177W; YEL037C; YER143W; YFL007W; YFR010W; YGL058W; YGL141W; YGR232W; YHL030W; YHR052W; YKL010C; YKL206C; YLR199C	UBC4; UMP1; RPN4; CDC34; UBC5; DOA4; UBC13; UBC1; RAD23; DDI1; BLM10; UBP6; RAD6; HUL5; NAS6; ECM29; CIC1; UFD4; ADD66; PBA1	-0.293126909	-0.576828556	-0.261333333	-0.519916778	-0.099300125	-0.358287375	-0.3308935	proteasome associated	20	11	0.55
85	complex85	Baryshnikova2010	YBL072C; YBR048W; YBR181C; YBR189W; YCR031C; YDL061C; YDL083C; YDR025W; YDR064W; YDR447C; YDR450W; YER074W; YER102W; YER131W; YGL123W; YGL189C; YGR027C; YGR118W; YGR214W; YHL015W; YHR021C; YHR203C; YIL069C; YJL136C; YJL190C; YJL191W; YJR123W; YJR145C; YKL156W; YKR057W; YLR048W; YLR167W; YLR264W; YLR287C-A; YLR333C; YLR367W; YLR388W; YLR441C; YML024W; YML026C; YML063W; YMR116C; YMR143W; YMR230W; YNL096C; YNL178W; YNL302C; YOL040C; YOL121C; YOR096W; YOR167C; YOR182C; YOR293W; YOR369C; YPL081W; YPL090C; YPR132W	RPS8A; RPS11B; RPS6B; RPS9B; RPS14A; RPS29B; RPS16B; RPS11A; RPS13; RPS17B; RPS18A; RPS24A; RPS8B; RPS26B; RPS2; RPS26A; RPS25A; RPS23A; RPS0A; RPS20; RPS27B; RPS4B; RPS24B; RPS21B; RPS22A; RPS14B; RPS5; RPS4A; RPS27A; RPS21A; RPS0B; RPS31; RPS28B; RPS30A; RPS25B; RPS22B; RPS29A; RPS1A; RPS17A; RPS18B; RPS1B; ASC1; RPS16A; RPS10B; RPS7B; RPS3; RPS19B; RPS15; RPS19A; RPS7A; RPS28A; RPS30B; RPS10A; RPS12; RPS9A; RPS6A; RPS23B	-0.011518667	0.03108325	-0.137247667	0.290271966	0.1565991	0.150969871	-0.473942379	cytoplasmic ribosomal small subunit	57	31	0.543859649
557	complex557	Baryshnikova2010	YBR279W; YER164W; YGL207W; YGL244W; YGR063C; YGR116W; YLR418C; YML010W; YNL230C; YOL145C; YOR123C; YPL046C; YPR133C	PAF1; CHD1; SPT16; RTF1; SPT4; SPT6; CDC73; SPT5; ELA1; CTR9; LEO1; ELC1; SPN1	0.852941857	-0.030813	-0.5674506	-0.60471275	-0.677861667	-1.5416496	-0.8523465	transcription elongation factor complex	13	7	0.538461538
143	complex143	Benschop2010	YBR105C; YCL039W; YDL176W; YDR255C; YGL227W; YIL017C; YIL097W; YMR135C	VID24; GID7; YDL176W; RMD5; VID30; VID28; FYV10; GID8	-0.13279475	-0.26986875	-0.14079825	-0.18468525	-0.019637	0.184219	-0.260255	GID complex	8	4	0.5
210	complex210	Benschop2010 & Baryshnikova2010	YBL090W; YBR146W; YBR251W; YDL045W-A; YDR036C; YDR041W; YDR175C; YDR337W; YDR347W; YER050C; YFR049W; YGL129C; YGR084C; YGR165W; YGR215W; YHL004W; YHR059W; YHR075C; YIL093C; YJR101W; YJR113C; YKL003C; YKL155C; YMR158W; YMR188C; YNL081C; YNL137C; YNL306W; YNR036C; YNR037C; YOR158W; YPL013C; YPL118W; YPR166C	MRP21; MRPS9; MRPS5; MRP10; EHD3; RSM10; RSM24; MRPS28; MRP1; RSM18; YMR31; RSM23; MRP13; MRPS35; RSM27; MRP4; FYV4; PPE1; RSM25; RSM26; RSM7; MRP17; RSM22; MRPS8; MRPS17; SWS2; NAM9; MRPS18; MRPS12; RSM19; PET123; MRPS16; MRP51; MRP2	1.135879909	0.906273529	0.384561643	0.954059143	0.206372235	0.636325813	0.221488875	mitochondrial small ribosomal subunit	34	17	0.5
294	complex294	Baryshnikova2010	YBR188C; YDR416W; YGR129W; YJR050W; YLL036C; YLR117C; YMR213W; YPR101W	NTC20; SYF1; SYF2; ISY1; PRP19; CLF1; CEF1; SNT309	-0.767529	0.071640333	0.263821667	-0.140005667	-0.364672	-0.3314095	-0.13706475	Prp19-associated complex	8	4	0.5
502	complex502	Baryshnikova2010	YBR280C; YDL132W; YDR054C; YDR131C; YDR328C; YFL009W; YIL046W; YJL149W; YJR090C; YLR097C; YLR368W; YML088W; YOL133W; YOR080W	SAF1; CDC53; CDC34; YDR131C; SKP1; CDC4; MET30; DAS1; GRR1; HRT3; MDM30; UFO1; HRT1; DIA2	-0.453795714	-0.232183	-0.321515	0.105028571	0.170918857	-0.281408833	-0.4003956	SCF ubiquitin ligase complex (AB)	14	7	0.5
546	complex546	Benschop2010	YAL011W; YBR231C; YDR190C; YDR334W; YDR485C; YFL039C; YGR002C; YJL081C; YLR085C; YLR385C; YLR399C; YML041C; YNL107W; YPL235W	SWC3; SWC5; RVB1; SWR1; VPS72; ACT1; SWC4; ARP4; ARP6; SWC7; BDF1; VPS71; YAF9; RVB2	0.994768714	0.2120505	0.3719514	0.343271	0.350901571	0.6339335	0.241327143	SWR1 complex	14	7	0.5
555	complex555	Benschop2010	YER093C; YIL105C; YJL058C; YKL203C; YMR068W; YNL006W; YNL047C; YOL078W	TSC11; SLM1; BIT61; TOR2; AVO2; LST8; SLM2; AVO1	-0.480326	-0.465990667	0.080342	0.344831	-0.030439333	0.005027	0.043850667	TORC2 complex (GO)	8	4	0.5
568	complex568	Benschop2010	YDL084W; YDR138W; YDR381W; YHR167W; YML062C; YNL004W; YNL139C; YNL253W	SUB2; HPR1; YRA1; THP2; MFT1; HRB1; THO2; TEX1	0.37504975	0.626761667	0.137937	-0.135744667	0.023730333	-0.5509905	-0.22616575	TREX complex	8	4	0.5
88	complex88	Benschop2010	YBL072C; YBR048W; YBR189W; YDR025W; YDR064W; YER102W; YHR203C; YIL069C; YJL190C; YJR145C; YLR367W; YML024W; YOR096W; YOR204W; YPL081W	RPS8A; RPS11B; RPS9B; RPS11A; RPS13; RPS8B; RPS4B; RPS24B; RPS22A; RPS4A; RPS22B; RPS17A; RPS7A; DED1; RPS9A	-0.245365	0.557493667	-0.16682875	0.6354875	0.400362	0.403076714	-0.772988857	cytosolic small ribosomal subunit	15	7	0.466666667
